Brand Name,Address,latitude,longitude,charging type,charging port,cost per unit,payment type
Revos,DELHI,28.5624224496947,77.2873310744762,Charging,1,,E-Wallet/Card/UPI
Revos,DELHI,28.5624732971191,77.2873458862304,Charging,1,,E-Wallet/Card/UPI
Revos,DELHI,28.5624275207519,77.2873229980468,Charging,1,,E-Wallet/Card/UPI
Revos,DELHI,28.5624485015869,77.2873077392578,Charging,1,,E-Wallet/Card/UPI
Revos,DELHI,28.5624561309814,77.2873764038086,Charging,1,,E-Wallet/Card/UPI
Revos,DELHI,28.56245803833,77.287353515625,Charging,1,,E-Wallet/Card/UPI
Revos,DELHI,28.5624752044677,77.2873840332031,Charging,1,,E-Wallet/Card/UPI
Revos,DELHI,28.5624732971191,77.2873458862304,Charging,1,,E-Wallet/Card/UPI
Revos,DELHI,28.5624446868896,77.2873611450195,Charging,1,,E-Wallet/Card/UPI
Revos,DELHI,28.5624313354492,77.2874145507812,Charging,1,,E-Wallet/Card/UPI
Revos,DELHI,28.5624463019182,77.287256643176,Charging,1,,E-Wallet/Card/UPI
Revos,NA,28.521745665865,77.2929137572646,Charging,1,,E-Wallet/Card/UPI
Revos,77.292667267478,28.5289341149285,77.292667267478,Charging,1,5,E-Wallet/Card/UPI
Revos,"Sanjay Colony II, Sanjay Colony, Okhla Phase II, Okhla Industrial Estate, New Delhi, Delhi 110020",28.5413247,77.2755771,Charging,1,5,E-Wallet/Card/UPI
Revos,"Sanjay Colony II, Sanjay Colony, Okhla Phase II, Okhla Industrial Estate, New Delhi, Delhi 110020",28.5413247,77.2755771,Charging,1,5,E-Wallet/Card/UPI
Revos,"Sanjay Colony II, Sanjay Colony, Okhla Phase II, Okhla Industrial Estate, New Delhi, Delhi 110020",28.5413247,77.2755771,Charging,1,5,E-Wallet/Card/UPI
Revos,"Sanjay Colony II, Sanjay Colony, Okhla Phase II, Okhla Industrial Estate, New Delhi, Delhi 110020",28.5413247,77.2755771,Charging,1,5,E-Wallet/Card/UPI
Revos,"Pocket E Sarita Vihar, Sarita Vihar, New Delhi, Delhi 110076",28.5289341149285,77.292667267478,Charging,1,5,E-Wallet/Card/UPI
Revos,"Pocket E Sarita Vihar, Sarita Vihar, New Delhi, Delhi 110076",28.5289341149285,77.292667267478,Charging,1,5,E-Wallet/Card/UPI
Revos,Shakti Vihar.,28.50129,77.32115,Charging,1,25,E-Wallet/Card/UPI
Revos,"E -12, ground floor, Lajpat Nagar 1, New Delhi 110024",28.5733477,77.2372255,Charging,1,5,E-Wallet/Card/UPI
Revos,"E -12, ground floor, Lajpat Nagar 1, New Delhi 110024",28.5733477,77.2372255,Charging,1,5,E-Wallet/Card/UPI
